EBELN,EBELP,BSART,BSTYP,STATU,AEDAT,BEDAT,LIFNR,VENDOR_NAME,EKORG,EKGRP,WAERS,WKURS,MATNR,TXZ01,MATKL,WERKS,LGORT,MENGE,MEINS,NETPR,NETWR,BWART,BUDAT,MBLNR,MJAHR,ZEILE,KOSTL,AUFNR,INCO1,ZTERMS,LOEKZ,SECTION_SOURCE
4500000651,30,FO,F,U,20240105,27-02-2023,200078,HPCL Petroleum Corp,1000,ZZ1,INR,1,HSD-00001,High Speed Diesel BS-VI,FUEL,DEL1,,75.193,TO,90277.2,6788213.5,551,20240313,,,,,OR-2024-002,,,,QAS_DE_MB51
4500000839,20,NB,F,B,18.04.2024,20240229,200078,HPCL Petroleum Corp,INPU,ZZ1,USD,83.104,ATF-00005,Aviation Turbine Fuel,FUEL,IN01,,12568.11,GAL,3.97,49895.4,551,20230521,,,,,,,NT30,,QAS_DE_MB51
4516069317,30,NB,F,E,22.09.2023,07.05.2024,400091,Reliance Industries Ltd,CORP,PET,INR,,ATF-00005,Aviation Turbine Fuel   ,FUEL,3000,TANK,410.049,KL,88732.02,36384476.07,261,02-05-2024,,,,1000020,600000001,DDP,,,QAS_DE_MB51
4500001227,30,ZFUE,F,E,20231105,11/27/2023,100042,BPCL Fuel Supply Ltd,INPU,F02,INR,1,LUBE-00112,Hydraulic Oil 46,LUBR,CHN1,TANK,29044,L,"93,23",2707772.12,101,20240107,5000013424,2023,2,2000010,,FOB,,,QAS_DE_MB51
4500000906,30,ZFU,F,U,20231217,06/19/2024,100042,BPCL Fuel Supply Ltd,1000,ZZ1,USD,,MS-000023,Motor Spirit Petrol,FUEL,IN01,TANK,40747,L,1.04,42376.88,541,20231108,,,,1000010,,FOB,1,,QAS_DE_MB51
4510172342,10,UB,U,B,30.07.2023,07-05-2023,100042,BPCL Fuel Supply Ltd,1000,F01,INR,1,ATF-00005,Aviation Turbine Fuel,FUEL,IN04,,5597.24,GAL,323.63,1811434.78,102,20230724,5000095493,2025,2,,,CIF,Z030,,QAS_DE_MB51
4515952931,20,ZFU,F,,20230822,20240310,200078,HPCL Petroleum Corp,1000,PET,INR,1,HSD-00001,High Speed Diesel BS-VI,FUEL,3000,,22.953,TO,89087.3,2044820.8,101,20231118,5000015167,2024,3,,OR-2024-001,EXW,,,QAS_DE_MB51
4500000812,30,NB,F,,20230527,20241123,200078,HPCL Petroleum Corp,CORP,10,INR,1,HSD-00001,High Speed Diesel,FUEL,IN04,10,37097,L,93.92,3484150.24,122,27-08-2024,5000016090,2023,4,1000010,,CFR,,,QAS_DE_MB51
4500000473,10,NB,F,U,02/24/2023,20230131,400091,Reliance Industries,IN00,ZZ1,INR,,LUBE-00111,Engine Oil 15W40,LUBR,4000,FT01,48606,L,88.83,4317670.98,261,25.05.2024,,,,,,,SOFO,,QAS_DE_MB51
4500000771,10,UB,U,E,11-06-2024,20230203,300015,IOC Bulk Fuels,1000,11,INR,1,HSD-00001,High Speed Diesel BS-VI,FUEL,IN05,,33.665,TO,91445.45,3078511.07,122,11-07-2023,5000089833,2025,5,CC-DEL-002,,,,,QAS_DE_MB51
4500000751,30,FO,F,,20241002,20240820,700088,  Petronet LNG Ltd,INPU,F01,INR,,LUBE-00112,Hydraulic Oil 46,LUBR,CHN1,FT01,49598,L,"89,12",4420173.76,101,20230410,5000039965,2023,3,1000010,,,,,QAS_DE_MB51
